Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Alloy1;Alloy2;HEAT;LOT;BATCH;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error;Ru;Ru Error
136;26.09.2023 09:09;TestAll Geo;330,51;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;110,01;2,78;200,28;3,14;<LOD;4,89;159,78;3,27;5,11;0,72;27,04;3,44;<LOD;1,93;12,48;2,91;<LOD;31,97;0,42;0,15;147,4;7,88;<LOD;34,86;38,32;8,87;111,14;16,47;<LOD;100,45;42816,59;209,05;595,33;40,05;204,76;11,49;133,83;7,28;4545,97;47,89;24,54;2,69;20858,65;133,96;27850,66;206,94;601,89;113,62;616,36;25,54;28,5;8,9;459,1;16,9;63,14;6,89;<LOD;0,76;<LOD;7,01;<LOD;4,03;35,78;5,89;269,09;23,3;160,06;19,02;608552,5;2603,01;16,4;1,62;23,07;1,86;<LOD;47,84;<LOD;1,5;<LOD;1,5;<LOD;1,5;118107,7;1425,14;1249,25;71,78;155192,22;852,78;6302,72;57,67;<LOD;1643,59;;
137;26.09.2023 09:19;TestAll Geo;330,62;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;<LOD;171,58;43,1;13,09;<LOD;300000;1278,2;62,72;24023,79;4793,83;3737,69;130,22;<LOD;55,1;365,39;140,86;1292,74;323,25;<LOD;300000;<LOD;199,74;<LOD;300000;210885,23;2610,76;<LOD;258,42;<LOD;195,72;2195,65;253,97;<LOD;349,72;43,48;3,99;28,52;3,44;707,37;29,47;<LOD;1,82;13122,47;65,1;9206,53;78,37;1834,83;74,51;526,11;219,6;<LOD;36,57;<LOD;64,68;<LOD;34,6;226,97;29,68;<LOD;124,28;368465,75;786,46;<LOD;299,01;<LOD;249,63;217,59;139,51;<LOD;1,5;<LOD;45,05;<LOD;35,21;<LOD;1894,22;<LOD;1,5;<LOD;1,5;<LOD;1,5;28723,31;1974,47;3230,28;558,55;71072,8;1094,87;24353,04;349,04;<LOD;6657,87;;
138;26.09.2023 09:37;TestAll Geo;330,52;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;<LOD;221,35;141,73;10,51;<LOD;300000;3210,7;130,96;103773,45;6007,65;1547,43;72,32;<LOD;39,06;1292,03;108,03;814,99;126,3;<LOD;300000;148,53;44,14;<LOD;300000;39187,66;1356,41;<LOD;119,77;<LOD;95,77;1894,51;155,27;<LOD;174,94;<LOD;29,32;11,09;4,38;405,01;19,67;<LOD;2,22;22761,02;78,69;8881,33;72,24;1309,93;64,06;<LOD;204,8;<LOD;22,25;<LOD;41,99;<LOD;18,87;107,8;12,13;<LOD;64,43;144109,86;319,25;<LOD;124,93;<LOD;156,04;<LOD;129,19;315960,09;16951,5;<LOD;68,6;<LOD;28,96;<LOD;2408,93;<LOD;1,5;<LOD;1,5;<LOD;1,5;27301,64;1456,04;2001,57;425,4;143801,05;3438,02;20383,93;572,24;<LOD;3291,18;;
139;26.09.2023 09:41;TestAll Geo;3,19;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;<LOD;989,35;158,42;66,44;<LOD;300000;2880,28;573,18;74086,09;24619,07;1683,67;426,95;<LOD;199,09;<LOD;736,52;<LOD;1257,68;<LOD;300000;<LOD;376,68;<LOD;300000;39673,71;6487,61;<LOD;769,34;<LOD;675,83;1588,39;905,44;<LOD;1149,72;<LOD;1652,75;<LOD;1366,61;<LOD;5845,11;;;;;;;;;;;;;;;;;;;<LOD;528,65;213779,48;39592,7;;;;;;;663522,25;57503,72;<LOD;296,45;<LOD;157,87;<LOD;9969,19;<LOD;1,5;<LOD;1,5;<LOD;1,5;;;;;;;;;;;;
140;26.09.2023 09:47;TestAll Geo;299,66;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;109,41;2,78;198,63;3,12;<LOD;4,91;158,71;3,27;5,52;0,73;27,99;3,47;<LOD;1,99;11,3;2,9;<LOD;32,99;0,38;0,15;150,01;7,96;<LOD;36,4;32,68;8,81;137,83;16,77;<LOD;100,07;42987,83;209,54;614,12;40,33;200,75;11,53;140,92;7,43;4623,18;48,61;25,25;2,71;21028,26;135,3;28932,8;211,63;702,24;117,3;654,21;25,84;30,89;8,95;478,93;17,12;60,86;6,89;<LOD;0,76;<LOD;7,04;<LOD;4,23;40,53;6,01;270,51;23,56;162,07;19,27;527702;3399,43;16,2;1,61;23,35;1,87;<LOD;47,85;<LOD;1,5;<LOD;1,5;<LOD;1,5;165459,47;2019,61;1440;87,39;186472,89;1017,53;6667;68,09;<LOD;2004,97;;
141;26.09.2023 09:56;TestAll Geo;330,56;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;<LOD;241,85;43,29;12,91;<LOD;300000;2367,39;88,96;53991,88;6402,72;3542,87;124,81;<LOD;61,5;827,79;151,56;1415,79;293,94;<LOD;300000;<LOD;180,62;<LOD;300000;191473,73;2849,19;354,71;160,7;<LOD;177,66;1757,99;228,1;<LOD;320,75;9,66;4,01;22,71;3,33;450;23,26;<LOD;1,55;9726,54;56,37;10240,71;80,89;1903,2;74,53;<LOD;350,1;<LOD;29,19;<LOD;52,99;<LOD;26,11;119,87;20,29;<LOD;120,61;256334,28;539,52;<LOD;202,75;<LOD;281,55;<LOD;230,11;<LOD;1,5;<LOD;64,44;<LOD;42,72;<LOD;2641,54;<LOD;1,5;<LOD;1,5;<LOD;1,5;29005,17;1856,08;1472,81;529,09;98153,42;1761,28;28259,07;510,25;<LOD;6051,2;;
142;26.09.2023 10:17;TestAll Geo;330,65;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;<LOD;204,94;127,77;10,68;<LOD;300000;3057,9;124,26;88051,35;5344,63;1618,22;77,13;<LOD;41,51;1140,08;103,72;835,78;141,34;<LOD;300000;108,61;49,02;<LOD;300000;46639,98;1612,47;<LOD;133,08;<LOD;104,74;1942,98;166,86;<LOD;196,61;<LOD;34,2;20,35;5,23;441,62;22,26;<LOD;1,82;16940,72;65,02;7463,31;63,87;1202,59;57,83;252,18;159,58;<LOD;24,42;<LOD;45,7;<LOD;20,69;105,72;13,06;<LOD;70,36;141828,59;343,91;401,78;92,37;<LOD;182,51;<LOD;153,3;305155,41;17580,97;<LOD;59,94;<LOD;32,37;<LOD;2163,96;<LOD;1,5;<LOD;1,5;<LOD;1,5;26476,8;1564,78;2584,02;502,36;149576,86;3330,46;23776,36;639,55;<LOD;3940,25;;
143;26.09.2023 10:40;TestAll Geo;330,15;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;<LOD;33,35;<LOD;8,37;<LOD;300000;<LOD;17,57;<LOD;1449,84;<LOD;34,51;<LOD;21,33;<LOD;41,43;<LOD;252,24;<LOD;300000;<LOD;58,36;<LOD;300000;5678,14;213,18;1590,27;172,01;<LOD;151,41;910,52;198,67;<LOD;292,57;36,31;2,56;<LOD;11,33;185,85;19,64;6,94;0,22;1807,55;103,82;16629,61;80,18;2050,13;60,96;<LOD;249,68;<LOD;69,88;<LOD;115,88;1548,34;86,72;294,62;54,34;<LOD;88,63;587491,81;1445,11;1374,88;383,18;<LOD;192,51;<LOD;160,76;539675,44;13867,83;<LOD;10,97;<LOD;9,25;<LOD;363,52;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;2724,98;<LOD;265,57;12099,99;535,01;66421,69;861,59;<LOD;7893,36;;
144;26.09.2023 10:47;General Metals;71,12;%;Final;;;;;;;Juan-Marco Puerta Schardt;No Match : *5.31;No Match : *5.78;;;;<LOD;0,009;<LOD;0,008;;;;;;;;;<LOD;0,032;<LOD;0,022;;;;;;;<LOD;0,058;<LOD;0,17;1,369;0,071;0,353;0,078;<LOD;0,137;0,289;0,1;<LOD;0,275;0,389;0,044;<LOD;0,066;<LOD;0,063;;;;;;;<LOD;0,002;;;;;;;<LOD;0,287;<LOD;0,367;<LOD;0,095;95,926;0,533;<LOD;0,078;;;;;;;<LOD;0,008;;;<LOD;0,027;;;;;;;<LOD;0,825;<LOD;0,051;1,471;0,088;;;<LOD;0,002;<LOD;0,015
145;26.09.2023 10:56;TestAll Geo;330,05;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;<LOD;837,33;145,81;17,66;<LOD;300000;<LOD;402;<LOD;28816,27;109287,51;5933,4;<LOD;126,55;4227,5;553,81;<LOD;327,11;<LOD;300000;2668,15;143,78;<LOD;300000;239322,36;9638,29;410,28;67,6;<LOD;77,28;2316,01;130,37;<LOD;110,65;<LOD;42,41;15,82;6,6;110,08;23,03;<LOD;7,76;93608,47;271,34;1750,57;85,61;24135,65;382,49;<LOD;130,23;182,16;27,64;758,99;52,51;2139,53;49,24;1674,06;11,78;80,66;19,83;390,22;22,29;119,37;21,71;<LOD;98,98;<LOD;81,14;287899,28;15672,98;<LOD;225,88;166,3;83,89;<LOD;7838,02;<LOD;1,5;<LOD;1,5;<LOD;1,5;25225,85;2588,57;<LOD;2375,62;77265,07;4192,29;38754,43;2329,56;<LOD;6099,99;;
146;26.09.2023 11:27;TestAll Geo;330,54;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;106,55;2,76;198,86;3,13;<LOD;5,01;159,71;3,28;5,31;0,72;26,82;3,44;<LOD;1,96;12,01;2,89;<LOD;31,4;0,34;0,15;144,59;7,83;<LOD;35,07;31,84;8,74;117,65;16,49;<LOD;100,28;42861,39;209,27;628,38;40,55;225,05;11,79;141,2;7,46;4670,79;49,05;24,64;2,71;20749,76;135,31;29198,71;213,69;514,36;113,52;667,84;25,8;39,64;8,94;463,61;16,92;61,13;6,86;<LOD;0,77;<LOD;7,06;<LOD;4,24;41,12;5,99;279,44;23,57;206,24;19,67;517840,81;3129,45;16,81;1,62;25,04;1,89;<LOD;47,66;<LOD;1,5;<LOD;1,5;<LOD;1,5;171831,97;1825,07;1482,12;75,4;189824,45;936,32;6857,29;61;<LOD;1719,24;;
147;26.09.2023 11:55;TestAll Geo;330,4;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;420,68;4,41;202,91;3,1;<LOD;3,88;63,61;2,23;4,7;0,67;45,94;3,86;<LOD;1,93;8,8;3,13;<LOD;30,43;<LOD;0,21;71,58;6,03;<LOD;33,71;40,8;8,75;<LOD;28,66;96,12;44,45;23466,69;152,56;307,47;32,24;61,69;7,16;117,87;6,12;5827,02;47,35;<LOD;1,13;2535,84;37,97;7749,85;84,84;341,48;58,77;746,65;26,55;23,69;8,98;459,62;17,09;53,76;6,88;<LOD;0,77;<LOD;6,99;<LOD;4,03;39,85;6,03;340,8;23,95;195,74;19,3;613022,75;2266,13;38,08;1,87;96,47;2,44;<LOD;41;<LOD;1,5;<LOD;1,5;<LOD;1,5;91671,13;1094,24;615,61;59,29;238756,69;1080,96;3656,96;41,3;<LOD;1336,16;;
148;26.09.2023 12:01;TestAll Geo;330,45;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;370,51;4,41;218,41;3,38;<LOD;4,05;64,43;2,36;4,95;0,71;38,78;3,87;<LOD;2,08;9,16;3,17;<LOD;33,33;0,32;0,15;89,24;6,81;<LOD;36,38;52,29;9,68;72,71;16,75;79,1;48,08;25065,98;165,74;352,64;35,21;93,59;7,15;138,67;6,73;5465,26;46,36;<LOD;1,1;2469,43;37,65;8334,87;87,16;305,16;57,74;1030,41;29,41;39,52;9,5;464,86;17,94;61,32;7,27;<LOD;0,81;<LOD;7,54;<LOD;4,44;37,1;6,26;385,57;26,08;232,78;21,04;607280,56;2417,48;35,77;1,99;131,99;2,91;<LOD;43,31;<LOD;1,5;<LOD;1,5;<LOD;1,5;95302,8;1182,98;382,05;63,02;235745,61;1135,41;3958,63;45,52;<LOD;1432,27;;
149;26.09.2023 12:23;TestAll Geo;330,18;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;371,55;4,88;312,76;4,35;<LOD;4,6;59,44;2,53;<LOD;201,73;77,93;5,21;<LOD;2,61;9,59;4,2;<LOD;37,79;0,37;0,18;56,3;6,74;<LOD;43,32;83,77;11,84;110,7;19,78;<LOD;80,03;26689,57;185,75;531,46;42,63;80,68;5,94;174,05;7,25;3935,43;37,04;<LOD;1,02;2767,07;35,12;8149,79;77,76;302,49;50,67;789,95;30,14;<LOD;14,7;359,31;18,25;30,66;7,42;<LOD;0,82;<LOD;8,57;<LOD;5,53;24,6;6,4;470,99;30,91;270,05;24,54;587835,63;2751,42;35,71;2,17;132,59;3,18;<LOD;49,15;<LOD;1,5;<LOD;1,5;<LOD;1,5;98799,52;1315,67;620,02;76,67;243820,41;1217,24;4267,54;51,99;<LOD;1704,61;;
150;26.09.2023 12:39;TestAll Geo;330,57;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;351,81;4,25;324,27;3,93;4,56;2,75;57,48;2,22;<LOD;177,17;57,09;4,17;<LOD;1,93;<LOD;6,83;<LOD;31,83;0,41;0,15;58,03;5,84;<LOD;33,54;67,8;9,32;<LOD;28,23;<LOD;85,99;26276,19;163,82;470,18;36,61;157,62;9,02;187,53;7,08;7698,58;57,48;1,71;0,96;3560,6;47,9;9543,35;100,91;359,5;67,75;1080,75;27,27;40,48;8,72;464,59;16,46;63,15;6,68;<LOD;0,73;<LOD;6,72;<LOD;3,97;40,02;5,79;443,41;24,79;259,1;19,79;557327,69;2550,77;36,14;1,92;129,76;2,79;<LOD;43,15;<LOD;1,5;<LOD;1,5;<LOD;1,5;117270,59;1300,42;712,59;59,66;263099,19;1156,3;2747,85;37,32;<LOD;1403,86;;
